field,selected_source,backup_sources,phase,selection_rule,source_type
odd_lot_priority,"Earliest true source: letter of transmittal, offer to purchase, or Schedule TO-T/TO-T-A exhibit that states odd-lot priority. Often N/A for standard merger elections.","Election form, notice of guaranteed delivery, SC 14D-9, 424B3/DEFM14A if summarized",Election-making process,Do not infer. Return N/A unless the offer/election material explicitly grants odd-lot priority.,SEC offer/election material
guaranteed_delivery_window,"Earliest true source: notice of guaranteed delivery, letter of transmittal, offer to purchase, or Schedule TO-T exhibit that states guaranteed delivery rules/window. Often N/A in non-tender merger elections.","Election form, Schedule TO-T/TO-T-A, SC 14D-9, 424B3/DEFM14A if summarized",Election-making process,"Select explicit window/rule only. If no guaranteed-delivery mechanism exists, return N/A with evidence.",SEC offer/election material
preliminary_proration_results,Earliest true source: post-deadline Form 8-K Exhibit 99.1 press release or standalone press release announcing preliminary election/proration results.,"8-K, 8-K/A, issuer/acquirer press release, Form 425 if filed as communication",Completion/post-election statement stage,"This is a post-election label, not a pre-trade feature. Select earliest preliminary result; later final result is separate.",SEC post-deadline filing / press release
final_proration_results,Earliest true source: Form 8-K Exhibit 99.1 press release/final proration announcement after election deadline or at closing.,"8-K/A, closing 8-K, issuer/acquirer press release, final proration statement",Completion/post-election statement stage,"If preliminary and final differ, select earliest document that states final results, not the preliminary announcement.",SEC post-deadline filing / press release
realized_cash_election_demand,Earliest true source: post-deadline 8-K Exhibit 99.1 or final proration press release stating number/percentage of shares electing cash.,"8-K/A, final proration results statement, closing 8-K",Completion/post-election statement stage,"If only final proration factor is given but not demand, return null/not_found unless computable from disclosed totals.",SEC post-deadline filing / press release
realized_stock_election_demand,Earliest true source: post-deadline 8-K Exhibit 99.1 or final proration press release stating number/percentage of shares electing stock.,"8-K/A, final proration results statement, closing 8-K",Completion/post-election statement stage,"If only final proration factor is given but not demand, return null/not_found unless computable from disclosed totals.",SEC post-deadline filing / press release
deal_completion_or_break,"Earliest true source: closing Form 8-K/EX-99.1 completion press release, or termination Form 8-K/EX-99.1 if broken.","8-K/A, merger closing press release, termination press release, Bloomberg/WRDS status field",Completion/post-election statement stage,Announcement expected-closing language is not enough. Select actual completion or termination statement.,SEC completion/termination filing
target_price,"Market data file/API: target ticker daily/intraday OHLCV from Bloomberg, WRDS/CRSP, TAQ, Polygon, Refinitiv, or equivalent. Not in SEC transaction filing.","Exchange historical data, Yahoo/yfinance for prototype only",Pre-announcement and continuously through election-making; selected as-of each trade date,"Use the earliest market-data timestamp required by the model window, but for trading signal use only prices timestamped before decision time.",External market data
acquirer_price,"Market data file/API: acquirer ticker daily/intraday OHLCV from Bloomberg, WRDS/CRSP, TAQ, Polygon, Refinitiv, or equivalent. Not in SEC transaction filing.","Exchange historical data, Yahoo/yfinance for prototype only",Pre-announcement and continuously through election-making; selected as-of each trade date,Use price available before trade decision. Needed for stock consideration value S = exchange_ratio × acquirer_price.,External market data
deal_spread,"Computed pipeline file, not a raw filing: deal_spread = predicted/contract value minus target_price, using legal terms plus target/acquirer prices.","Bloomberg/WRDS merger-arb spread fields if available, internal calculation from terms + prices",First meaningful during/after announcement; updated continuously during election-making,Earliest after the consideration terms and both prices are available. Must be recomputed when acquirer price or terms change.,Computed external market feature
volume_liquidity,"Market data file/API: target and acquirer volume, dollar volume, bid-ask spread, ADV, TAQ/Level-1/Level-2 where available. Not in SEC transaction filing.",Bloomberg/WRDS/CRSP/TAQ/Polygon/Refinitiv,Pre-announcement and continuously through election-making,Use as-of historical market data only. Choose measures consistent with execution date and backtest frequency.,External market/microstructure data
borrow_cost,"Borrow/lending vendor file/API: Bloomberg securities lending, S3, DataLend, Markit/IHS, Prime broker feed. Not in SEC transaction filing.","Short-fee proxies from vendor, hard-to-borrow indicators, securities-lending desk data",Pre-announcement and continuously through election-making; selected as-of trade date,Use point-in-time borrow fee available before trade. Do not substitute post-trade realized borrow cost unless labeling execution.,External borrow/lending data
borrow_availability,Borrow/lending vendor file/API or prime broker locate/availability feed. Not in SEC transaction filing.,"Bloomberg/S3/DataLend/Markit/prime broker inventory, indicative locate data",Pre-announcement and continuously through election-making; selected as-of trade date,Use availability known before trade; flag if only indicative or not executable.,External borrow/lending data
short_interest,FINRA short interest report or vendor file that mirrors FINRA/exchange short-interest data. Not in SEC transaction filing.,"Bloomberg/FactSet/Refinitiv short interest fields, exchange short interest files","Pre-announcement and election-making, but lagged relative to settlement/reporting schedule","Use only the latest report publicly available before the trade decision, not the later settlement period if unpublished then.",External regulatory/market data
passive_ownership,"Computed ownership-classification file using latest available 13F holdings, ETF holdings, index membership, and manager taxonomy. Not in SEC transaction filing.","Bloomberg ownership, WRDS institutional holdings, SEC 13F-HR, ETF sponsor holdings, index constituent files","Pre-announcement / latest available before election-making; lagged for 13F, fresher for ETF daily holdings",Select the latest point-in-time ownership snapshot available before decision time; compute passive share using manager/fund classification rules.,External ownership data / computed feature
etf_ownership,ETF daily holdings files from Bloomberg/WRDS/ETF sponsors if available; otherwise latest 13F/ownership feed for ETF holders. Not in SEC transaction filing.,"Bloomberg ETF holdings, ETF sponsor daily holdings CSV, WRDS, 13F-HR for ETF managers",Pre-announcement and election-making; ideally daily/fresh as-of trade date,Prefer ETF daily holdings over 13F if both exist. Use point-in-time files available before trade decision.,External ETF ownership data
hedge_fund_ownership,Computed manager-type ownership file using latest available SEC 13F-HR or Bloomberg/WRDS institutional ownership plus hedge-fund/event-driven manager classification.,"13F-HR, WRDS 13F, Bloomberg ownership, FactSet ownership, manual manager taxonomy",Pre-announcement / latest available before election-making; lagged,Use filing publication date as availability date. Do not treat quarter-end holdings as available before the 13F filing is public.,External ownership data / computed feature
nport_on_loan,SEC Form N-PORT XML/filing or structured N-PORT data/API for registered funds holding target shares; extract position/fund-level securities-on-loan value where available. Not in SEC transaction filing.,"SEC EDGAR N-PORT, SEC N-PORT data sets, sec-api N-PORT API, Bloomberg fund lending if available",Pre-announcement / latest public report before election-making; lagged,Use only N-PORT reports publicly disseminated before decision time. Map fund holdings to target security and aggregate on-loan amounts.,External fund regulatory filing
fund_lending_policy,"Fund SAI (Statement of Additional Information), prospectus, annual/semiannual report, or fund securities-lending policy document. Not in SEC transaction filing.","Fund SAI on EDGAR (N-1A-related filings), fund website securities-lending policy, annual report, N-CEN where relevant",Pre-announcement/static standing document; use latest effective version before trade decision,Select the latest effective policy available before decision time; summarize recall/discretion/lending limits if stated.,External fund regulatory/policy filing
lending_control_rule,MSLA/GMSLA template plus fund SAI/lending agreement disclosure explaining who controls voting/election/recall rights on lent shares. Not in SEC transaction filing.,"Fund SAI/prospectus language, securities lending agreement disclosure, legal template, counsel memo, manual legal research",Pre-announcement/static legal control assumption; resolved before model build,"This is not usually a deal-specific numeric field. Store as legal assumption/evidence: retained fund rights, borrower rights, recall mechanics, and uncertainty flag.",External legal/policy document
